frameno;frametime;cir_pos;color
2122;0.0589051246643;"[(700.5, 338.5), (333.5, 393.5), (724.5, 376.5)]";"[0, 0, 1]"
2123;0.0605299472809;"[(700.5, 341.5), (724.5, 379.5)]";"[0, 1]"
2124;0.0650889873505;"[(699.5, 340.5)]";"[0]"
2125;0.0690989494324;"[]";"[]"
2126;0.0918009281158;"[(659.5, 341.5)]";"[0]"
2127;0.0857000350952;"[(696.5, 343.5), (324.5, 399.5)]";"[0, 0]"
2128;0.0615210533142;"[(699.5, 342.5), (473.5, 393.5)]";"[0, 1]"
2129;0.0703999996185;"[(699.5, 340.5), (723.5, 380.5)]";"[0, 1]"
2130;0.0781590938568;"[]";"[]"
2131;0.0505259037018;"[(700.5, 342.5)]";"[0]"
2132;0.0920832157135;"[]";"[]"
2133;0.0821149349213;"[(702.5, 344.5), (318.5, 399.5), (726.5, 386.5)]";"[0, 0, 1]"
2134;0.0613310337067;"[]";"[]"
2135;0.0511360168457;"[(724.5, 382.5), (179.5, 393.5)]";"[1, 1]"
2136;0.0664210319519;"[(700.5, 341.5)]";"[0]"
2137;0.0513179302216;"[(698.5, 339.5), (306.5, 393.5), (336.5, 348.5)]";"[0, 0, 1]"
2138;0.0545880794525;"[(698.5, 341.5), (723.5, 380.5)]";"[0, 1]"
2139;0.0664689540863;"[(699.5, 340.5), (305.5, 397.5), (162.5, 389.5)]";"[0, 0, 1]"
2140;0.0895299911499;"[(302.5, 396.5), (685.5, 376.5), (722.5, 380.5)]";"[0, 0, 1]"
2141;0.0781228542328;"[(697.5, 338.5), (308.5, 397.5)]";"[0, 0]"
2142;0.0882329940796;"[(300.5, 391.5), (722.5, 379.5)]";"[0, 1]"
2143;0.0843389034271;"[(697.5, 335.5), (300.5, 388.5), (722.5, 377.5)]";"[0, 0, 1]"
2144;0.0681447982788;"[(722.5, 375.5)]";"[1]"
2145;0.0524659156799;"[(297.5, 387.5), (699.5, 333.5), (722.5, 375.5)]";"[0, 0, 1]"
2146;0.0725080966949;"[(289.5, 388.5), (697.5, 330.5), (722.5, 374.5)]";"[0, 0, 1]"
2147;0.0796000957489;"[(696.5, 333.5)]";"[0]"
2148;0.0914869308472;"[(695.5, 334.5)]";"[0]"
2149;0.0831151008606;"[(696.5, 337.5), (722.5, 378.5)]";"[0, 1]"
