frameno;frametime;red_count;green_count;red_pos;green_pos
1235;0.0123469829559;0;1;"[]";"[(328.5, 127.5)]"
1236;0.0125319957733;0;1;"[]";"[(330.5, 126.5)]"
1237;0.00951886177063;0;1;"[]";"[(330.5, 128.5)]"
1238;0.00764584541321;0;1;"[]";"[(331.5, 131.5)]"
1239;0.010568857193;0;1;"[]";"[(330.5, 132.5)]"
1240;0.012727022171;0;1;"[]";"[(329.5, 134.5)]"
1241;0.0124170780182;0;2;"[]";"[(331.5, 135.5), (72.5, 118.5)]"
1242;0.0117101669312;0;1;"[]";"[(332.5, 137.5)]"
1243;0.0122110843658;0;1;"[]";"[(336.5, 137.5)]"
1244;0.0126461982727;0;2;"[]";"[(334.5, 137.5), (70.5, 119.5)]"
1245;0.0145111083984;0;1;"[]";"[(335.5, 136.5)]"
1246;0.0119569301605;0;1;"[]";"[(337.5, 136.5)]"
1247;0.00805687904358;0;2;"[]";"[(338.5, 137.5), (72.5, 121.5)]"
1248;0.0116801261902;0;1;"[]";"[(341.5, 136.5)]"
1249;0.011706829071;0;1;"[]";"[(341.5, 136.5)]"
1250;0.00808095932007;0;2;"[]";"[(340.5, 135.5), (69.5, 119.5)]"
1251;0.0119750499725;0;1;"[]";"[(339.5, 135.5)]"
1252;0.00750708580017;0;1;"[]";"[(339.5, 136.5)]"
1253;0.0114390850067;0;2;"[]";"[(340.5, 137.5), (69.5, 121.5)]"
1254;0.0114510059357;0;1;"[]";"[(342.5, 135.5)]"
1255;0.00783109664917;0;1;"[]";"[(343.5, 135.5)]"
1256;0.010694026947;0;1;"[]";"[(344.5, 133.5)]"
1257;0.0120329856873;0;2;"[]";"[(345.5, 136.5), (69.5, 121.5)]"
1258;0.494953155518;0;2;"[]";"[(345.5, 136.5), (69.5, 121.5)]"
1259;0.00812602043152;0;1;"[]";"[(348.5, 134.5)]"
1260;0.0109879970551;0;1;"[]";"[(350.5, 135.5)]"
1261;0.0117650032043;0;1;"[]";"[(352.5, 134.5)]"
1262;0.0080668926239;0;2;"[]";"[(351.5, 133.5), (68.5, 118.5)]"
1263;0.0114121437073;0;1;"[]";"[(355.5, 135.5)]"
1264;0.0119729042053;0;2;"[]";"[(355.5, 134.5), (74.5, 120.5)]"
1265;0.00818800926208;0;1;"[]";"[(353.5, 131.5)]"
1266;0.0117778778076;0;1;"[]";"[(350.5, 130.5)]"
1267;0.0117349624634;0;1;"[]";"[(350.5, 132.5)]"
1268;0.0116181373596;0;1;"[]";"[(349.5, 132.5)]"
1269;0.0116717815399;0;1;"[]";"[(348.5, 133.5)]"
1270;0.0110449790955;0;1;"[]";"[(348.5, 133.5)]"
1271;0.0104038715363;0;1;"[]";"[(350.5, 130.5)]"
1272;0.0119547843933;0;2;"[]";"[(349.5, 129.5), (66.5, 116.5)]"
1273;0.00795197486877;0;2;"[]";"[(347.5, 129.5), (67.5, 117.5)]"
1274;0.0116350650787;0;1;"[]";"[(346.5, 130.5)]"
1275;0.0116238594055;0;2;"[]";"[(345.5, 129.5), (64.5, 116.5)]"
1276;0.0119009017944;0;2;"[]";"[(348.5, 127.5), (65.5, 115.5)]"
1277;0.0120711326599;0;2;"[]";"[(350.5, 126.5), (64.5, 114.5)]"
1278;0.00782299041748;0;1;"[]";"[(351.5, 126.5)]"
1279;0.0118410587311;0;2;"[]";"[(353.5, 125.5), (65.5, 113.5)]"
1280;0.0112478733063;0;1;"[]";"[(354.5, 125.5)]"
1281;0.00777697563171;0;2;"[]";"[(356.5, 127.5), (66.5, 115.5)]"
1282;0.0111539363861;0;1;"[]";"[(356.5, 128.5)]"
1283;0.00758290290833;0;2;"[]";"[(358.5, 129.5), (66.5, 117.5)]"
1284;0.010922908783;0;2;"[]";"[(359.5, 126.5), (65.5, 115.5)]"
1285;0.00748610496521;0;2;"[]";"[(358.5, 125.5), (64.5, 114.5)]"
1286;0.0107340812683;0;1;"[]";"[(359.5, 123.5)]"
1287;0.0102767944336;0;1;"[]";"[(67.5, 114.5)]"
1288;0.0106098651886;0;2;"[]";"[(365.5, 123.5), (68.5, 112.5)]"
1289;0.0106511116028;0;2;"[]";"[(365.5, 122.5), (67.5, 111.5)]"
1290;0.00699710845947;0;2;"[]";"[(367.5, 123.5), (68.5, 112.5)]"
1291;0.0108499526978;0;2;"[]";"[(370.5, 125.5), (71.5, 114.5)]"
1292;0.00699210166931;0;1;"[]";"[(72.5, 113.5)]"
1293;0.010174036026;0;2;"[]";"[(372.5, 125.5), (72.5, 114.5)]"
1294;0.0102999210358;0;1;"[]";"[(372.5, 127.5)]"
1295;0.00723004341125;0;2;"[]";"[(373.5, 127.5), (73.5, 116.5)]"
1296;0.0104911327362;0;2;"[]";"[(74.5, 115.5), (374.5, 127.5)]"
1297;0.0101711750031;0;1;"[]";"[(376.5, 128.5)]"
1298;0.0103611946106;0;2;"[]";"[(376.5, 129.5), (77.5, 116.5)]"
1299;0.0103740692139;0;1;"[]";"[(374.5, 130.5)]"
1300;0.010644197464;0;2;"[]";"[(375.5, 129.5), (78.5, 116.5)]"
1301;0.0104999542236;0;1;"[]";"[(376.5, 127.5)]"
1302;0.0107138156891;0;2;"[]";"[(380.5, 128.5), (84.5, 115.5)]"
1303;0.0108699798584;0;1;"[]";"[(382.5, 129.5)]"
1304;0.0108571052551;0;1;"[]";"[(380.5, 130.5)]"
1305;0.010861158371;0;2;"[]";"[(374.5, 131.5), (82.5, 117.5)]"
1306;0.0112869739532;0;2;"[]";"[(370.5, 130.5), (81.5, 117.5)]"
1307;0.0113890171051;0;1;"[]";"[(370.5, 129.5)]"
1308;0.0121238231659;0;2;"[]";"[(372.5, 129.5), (85.5, 115.5)]"
1309;0.00813913345337;0;2;"[]";"[(374.5, 128.5), (87.5, 115.5)]"
1310;0.0118570327759;0;2;"[]";"[(375.5, 127.5), (90.5, 114.5)]"
1311;0.0120639801025;0;1;"[]";"[(375.5, 127.5)]"
1312;0.0119631290436;0;1;"[]";"[(372.5, 129.5)]"
1313;0.0118970870972;0;2;"[]";"[(366.5, 128.5), (88.5, 115.5)]"
1314;0.0118899345398;0;2;"[]";"[(359.5, 125.5), (84.5, 112.5)]"
1315;0.011736869812;0;1;"[]";"[(354.5, 122.5)]"
1316;0.0118401050568;0;2;"[]";"[(355.5, 121.5), (82.5, 108.5)]"
1317;0.0081250667572;0;1;"[]";"[(356.5, 121.5)]"
1318;0.0115268230438;0;1;"[]";"[(359.5, 121.5)]"
1319;0.0117220878601;0;2;"[]";"[(360.5, 118.5), (90.5, 104.5)]"
1320;0.0079071521759;0;1;"[]";"[(360.5, 120.5)]"
1321;0.00645017623901;0;1;"[]";"[(356.5, 122.5)]"
1322;0.00951409339905;0;1;"[]";"[(355.5, 122.5)]"
1323;0.0121760368347;0;2;"[]";"[(354.5, 123.5), (89.5, 109.5)]"
1324;0.0115270614624;0;1;"[]";"[(351.5, 123.5)]"
1325;0.0116260051727;0;1;"[]";"[(347.5, 123.5)]"
1326;0.0116989612579;0;1;"[]";"[(346.5, 125.5)]"
1327;0.0117988586426;0;2;"[]";"[(348.5, 124.5), (85.5, 109.5)]"
1328;0.00814509391785;0;2;"[]";"[(351.5, 121.5), (91.5, 108.5)]"
1329;0.0117499828339;0;2;"[]";"[(353.5, 116.5), (92.5, 103.5)]"
1330;0.0080840587616;0;2;"[]";"[(355.5, 114.5), (96.5, 101.5)]"
