frameno;frametime;filtertime;radious;cir_pos;color
173;0.106757164001;0.00180196762085;"[6.6708322]";"[(651, 226)]";"[0]"
174;0.125921964645;0.0015070438385;"[6.5192022, 5.7008772]";"[(652, 225), (391, 209)]";"[0, 0]"
175;0.103244066238;0.00185108184814;"[6.6708322]";"[(652, 225)]";"[0]"
176;0.112679958344;0.00142097473145;"[5.7008772]";"[(393, 209)]";"[0]"
177;0.118855953217;0.00192189216614;"[6.3639612, 6.6708322]";"[(653, 228), (392, 211)]";"[0, 0]"
178;0.112333059311;0.00184798240662;"[6.6708322]";"[(656, 232)]";"[0]"
179;0.110373973846;0.00192785263062;"[6.6708322]";"[(656, 236)]";"[0]"
180;0.113532066345;0.00190281867981;"[6.5192022]";"[(656, 239)]";"[0]"
181;0.123178958893;0.00231790542603;"[6.5192022, 7.7781744]";"[(656, 242), (399, 225)]";"[0, 0]"
182;0.116888046265;0.00150084495544;"[6.6708322, 5.7008772, 5.7008772]";"[(657, 244), (867, 390), (396, 226)]";"[0, 0, 0]"
183;0.109558820724;0.00234007835388;"[6.5192022]";"[(658, 244)]";"[0]"
184;0.110622882843;0.00185799598694;"[6.9641943]";"[(658, 245)]";"[0]"
185;0.0940721035004;0.00130605697632;"[5.7008772, 5.7008772]";"[(401, 228), (659, 247)]";"[0, 0]"
186;0.0982549190521;0.00182485580444;"[7.1063352, 6.6708322]";"[(660, 247), (398, 229)]";"[0, 0]"
187;0.0960869789124;0.00170302391052;"[6.041523, 6.6708322]";"[(657, 249), (399, 230)]";"[0, 0]"
188;0.103407144547;0.0017409324646;"[5.7008772, 6.6708322]";"[(397, 231), (655, 250)]";"[0, 0]"
189;0.11684012413;0.00144100189209;"[6.5192022, 5.7008772]";"[(657, 250), (397, 232)]";"[0, 0]"
190;0.115170001984;0.00195002555847;"[6.9641943]";"[(658, 251)]";"[0]"
191;0.119127035141;0.00139784812927;"[6.6708322, 5.7008772]";"[(655, 252), (397, 234)]";"[0, 0]"
192;0.125495195389;0.00149083137512;"[6.5192022, 5.7008772, 5.7008772]";"[(654, 252), (864, 399), (395, 234)]";"[0, 0, 0]"
193;0.0984790325165;0.00181412696838;"[6.6708322, 6.6708322]";"[(652, 253), (394, 235)]";"[0, 0]"
194;0.100468873978;0.00175309181213;"[7.6485291, 6.6708322]";"[(653, 253), (390, 235)]";"[0, 0]"
195;0.103155851364;0.00134682655334;"[6.3639612, 5.7008772]";"[(651, 255), (391, 237)]";"[0, 0]"
196;0.105334997177;0.00185608863831;"[6.6708322]";"[(651, 256)]";"[0]"
197;0.0952398777008;0.00168299674988;"[5.7008772, 6.9641943]";"[(389, 239), (648, 256)]";"[0, 0]"
198;0.114063978195;0.00185084342957;"[6.3639612, 6.6708322]";"[(649, 257), (390, 240)]";"[0, 0]"
199;0.114797115326;0.00144100189209;"[6.6708322]";"[(650, 257)]";"[0]"
200;0.117629051208;0.00187110900879;"[6.6708322, 6.5192022]";"[(649, 258), (392, 240)]";"[0, 0]"
201;0.130722045898;0.00193095207214;"[6.6708322, 6.6708322]";"[(649, 258), (392, 240)]";"[0, 0]"
202;0.0903689861298;0.00136399269104;"[6.041523]";"[(649, 259)]";"[0]"
203;0.107576131821;0.00131011009216;"[6.041523, 5.7008772, 5.7008772]";"[(650, 260), (391, 241), (859, 405)]";"[0, 0, 0]"
204;0.114002943039;0.001797914505;"[6.6708322, 6.5192022]";"[(651, 260), (394, 242)]";"[0, 0]"
205;0.112637996674;0.00185108184814;"[6.5192022]";"[(653, 260)]";"[0]"
206;0.112471818924;0.00200700759888;"[6.5192022]";"[(653, 260)]";"[0]"
207;0.0981731414795;0.00127601623535;"[6.5192022, 5.7008772]";"[(652, 260), (393, 243)]";"[0, 0]"
208;0.100930929184;0.00165915489197;"[5.7008772, 6.6708322]";"[(393, 243), (651, 261)]";"[0, 0]"
209;0.100562095642;0.00171089172363;"[6.041523, 7.1063352]";"[(651, 261), (390, 243)]";"[0, 0]"
210;0.11066198349;0.00198793411255;"[6.6708322]";"[(649, 261)]";"[0]"
