frameno;frametime;red_count;green_count;red_pos;green_pos
721;0.108701944351;0;1;"[]";"[[711.5, 55.5]]"
722;0.102136850357;0;1;"[]";"[[711.5, 55.5]]"
723;0.107774019241;0;1;"[]";"[[712.5, 57.5]]"
724;0.108136892319;0;1;"[]";"[[712.5, 58.5]]"
725;0.0884969234467;0;2;"[]";"[[712.5, 59.5], [449.5, 47.5]]"
726;0.11276102066;0;2;"[]";"[[712.5, 61.5], [449.5, 49.5]]"
727;0.108970165253;0;2;"[]";"[[712.5, 62.5], [449.5, 50.5]]"
728;0.0982980728149;0;2;"[]";"[[712.5, 63.5], [449.5, 51.5]]"
729;0.104594945908;0;1;"[]";"[[713.5, 65.5]]"
730;0.111783981323;0;2;"[]";"[[452.5, 55.5], [713.5, 68.5]]"
731;0.0890109539032;0;2;"[]";"[[715.5, 71.5], [451.5, 59.5]]"
732;0.0877408981323;0;1;"[]";"[[715.5, 76.5]]"
733;0.0889098644257;0;1;"[]";"[[453.5, 69.5]]"
734;0.107769012451;0;1;"[]";"[[715.5, 88.5]]"
735;0.088928937912;0;1;"[]";"[[717.5, 95.5]]"
736;0.101250171661;0;2;"[]";"[[718.5, 104.5], [457.5, 93.5]]"
737;0.099191904068;0;2;"[]";"[[459.5, 101.5], [719.5, 113.5]]"
738;0.110010147095;0;1;"[]";"[[719.5, 117.5]]"
739;0.110032081604;0;2;"[]";"[[458.5, 106.5], [717.5, 119.5]]"
740;0.10918211937;0;2;"[]";"[[716.5, 121.5], [456.5, 108.5]]"
741;0.104835033417;0;2;"[]";"[[716.5, 122.5], [456.5, 111.5]]"
742;0.11452293396;0;2;"[]";"[[457.5, 113.5], [716.5, 126.5]]"
743;0.0909669399261;0;1;"[]";"[[715.5, 129.5]]"
744;0.102643013;0;2;"[]";"[[714.5, 132.5], [457.5, 120.5]]"
745;0.0864100456238;0;1;"[]";"[[716.5, 136.5]]"
746;0.109370946884;0;2;"[]";"[[459.5, 127.5], [716.5, 139.5]]"
747;0.112716913223;0;2;"[]";"[[460.5, 132.5], [719.5, 143.5]]"
748;0.103217124939;0;2;"[]";"[[718.5, 150.5], [460.5, 138.5]]"
749;0.104936122894;0;1;"[]";"[[459.5, 143.5]]"
750;0.111072063446;0;2;"[]";"[[461.5, 148.5], [719.5, 159.5]]"
751;0.110930919647;0;2;"[]";"[[720.5, 164.5], [463.5, 151.5]]"
752;0.0900299549103;0;2;"[]";"[[723.5, 171.5], [466.5, 160.5]]"
753;0.116092920303;0;2;"[]";"[[722.5, 178.5], [466.5, 167.5]]"
754;0.110009908676;0;2;"[]";"[[466.5, 174.5], [721.5, 186.5]]"
755;0.108983039856;0;2;"[]";"[[468.5, 182.5], [724.5, 193.5]]"
756;0.087571144104;0;2;"[]";"[[469.5, 192.5], [726.5, 203.5]]"
757;0.103896141052;0;2;"[]";"[[726.5, 210.5], [471.5, 199.5]]"
758;0.113246202469;0;1;"[]";"[[725.5, 214.5]]"
759;0.110391139984;0;1;"[]";"[[726.5, 217.5]]"
760;0.110157966614;0;2;"[]";"[[470.5, 208.5], [724.5, 219.5]]"
761;0.109614133835;0;1;"[]";"[[724.5, 221.5]]"
762;0.113393068314;0;2;"[]";"[[471.5, 211.5], [725.5, 223.5]]"
763;0.0896239280701;0;2;"[]";"[[727.5, 225.5], [473.5, 213.5]]"
764;0.111536026001;0;2;"[]";"[[727.5, 227.5], [473.5, 215.5]]"
765;0.112859010696;0;2;"[]";"[[472.5, 218.5], [727.5, 229.5]]"
766;0.112008094788;0;2;"[]";"[[727.5, 234.5], [473.5, 223.5]]"
767;0.0889689922333;0;1;"[]";"[[729.5, 241.5]]"
768;0.112483978271;0;1;"[]";"[[730.5, 250.5]]"
769;0.107244968414;0;1;"[]";"[[730.5, 259.5]]"
770;0.109787940979;0;2;"[]";"[[731.5, 267.5], [478.5, 256.5]]"
771;0.0885081291199;0;1;"[]";"[[479.5, 265.5]]"
772;0.119876146317;0;2;"[]";"[[729.5, 286.5], [477.5, 273.5]]"
773;0.113478899002;0;1;"[]";"[[728.5, 294.5]]"
774;0.120153903961;0;2;"[]";"[[727.5, 299.5], [476.5, 285.5]]"
775;0.0942850112915;0;2;"[]";"[[728.5, 302.5], [476.5, 288.5]]"
776;0.115056991577;0;1;"[]";"[[726.5, 306.5]]"
777;0.0885190963745;0;1;"[]";"[[726.5, 312.5]]"
778;0.109240055084;0;1;"[]";"[[726.5, 319.5]]"
779;0.107301950455;0;1;"[]";"[[725.5, 324.5]]"
780;0.109535932541;0;2;"[]";"[[726.5, 326.5], [474.5, 313.5]]"
781;0.113003969193;0;1;"[]";"[[726.5, 329.5]]"
782;0.0918900966644;0;1;"[]";"[[727.5, 331.5]]"
783;0.109155893326;0;1;"[]";"[[727.5, 335.5]]"
784;0.108326911926;0;1;"[]";"[[727.5, 338.5]]"
785;0.108704805374;0;2;"[]";"[[726.5, 341.5], [474.5, 328.5]]"
786;0.106630802155;0;1;"[]";"[[725.5, 343.5]]"
787;0.112051010132;0;1;"[]";"[[725.5, 347.5]]"
788;0.114556074142;0;1;"[]";"[[725.5, 350.5]]"
789;0.10876083374;0;0;"[]";"[]"
790;0.119951963425;0;1;"[]";"[[726.5, 358.5]]"
791;0.119807958603;0;1;"[]";"[[723.5, 365.5]]"
792;0.117095947266;0;1;"[]";"[[723.5, 373.5]]"
793;0.107315063477;0;1;"[]";"[[725.5, 379.5]]"
794;0.11940908432;0;1;"[]";"[[726.5, 386.5]]"
795;0.10888504982;0;1;"[]";"[[728.5, 392.5]]"
796;0.122687101364;0;1;"[]";"[[728.5, 398.5]]"
797;0.107196807861;0;1;"[]";"[[728.5, 403.5]]"
798;0.0957679748535;0;0;"[]";"[]"
799;0.110776901245;0;1;"[]";"[[729.5, 415.5]]"
800;0.11557507515;0;1;"[]";"[[728.5, 420.5]]"
801;0.112547159195;0;2;"[]";"[[728.5, 425.5], [476.5, 411.5]]"
802;0.113862037659;0;2;"[]";"[[728.5, 434.5], [476.5, 421.5]]"
803;0.104981899261;0;1;"[]";"[[726.5, 439.5]]"
804;0.106833934784;0;1;"[]";"[[726.5, 446.5]]"
805;0.104114055634;0;1;"[]";"[[726.5, 454.5]]"
806;0.106579780579;0;1;"[]";"[[725.5, 463.5]]"
807;0.112375020981;0;1;"[]";"[[726.5, 473.5]]"
808;0.117948055267;0;2;"[]";"[[726.5, 489.5], [476.5, 476.5]]"
809;0.112590074539;0;1;"[]";"[[727.5, 503.5]]"
810;0.0899260044098;0;1;"[]";"[[727.5, 513.5]]"
811;0.107821941376;0;1;"[]";"[[726.5, 521.5]]"
812;0.116795063019;0;2;"[]";"[[726.5, 528.5], [477.5, 513.5]]"
813;0.0887188911438;0;1;"[]";"[[725.5, 534.5]]"
814;0.113166093826;0;1;"[]";"[[727.5, 538.5]]"
815;0.0959968566895;0;1;"[]";"[[729.5, 543.5]]"
816;0.113661050797;0;2;"[]";"[[480.5, 534.5], [730.5, 547.5]]"
817;0.11287689209;0;1;"[]";"[[729.5, 551.5]]"
818;0.110097885132;0;2;"[]";"[[477.5, 543.5], [728.5, 557.5]]"
819;0.11385679245;0;2;"[]";"[[727.5, 562.5], [478.5, 549.5]]"
820;0.107206106186;0;2;"[]";"[[728.5, 569.5], [477.5, 555.5]]"
821;0.11140704155;0;0;"[]";"[]"
822;0.115852117538;0;1;"[]";"[[729.5, 588.5]]"
823;0.111798048019;0;1;"[]";"[[727.5, 601.5]]"
824;0.0890619754791;0;1;"[]";"[[727.5, 617.5]]"
825;0.108893871307;0;2;"[]";"[[725.5, 631.5], [476.5, 618.5]]"
826;0.11644411087;0;2;"[]";"[[724.5, 644.5], [474.5, 631.5]]"
827;0.108169078827;0;1;"[]";"[[723.5, 654.5]]"
828;0.112982988358;0;1;"[]";"[[723.5, 661.5]]"
829;0.114155769348;0;1;"[]";"[[724.5, 666.5]]"
830;0.109188079834;0;1;"[]";"[[723.5, 671.5]]"
831;0.121118783951;0;1;"[]";"[[724.5, 677.5]]"
832;0.0892748832703;0;1;"[]";"[[726.5, 681.5]]"
833;0.107295036316;0;2;"[]";"[[728.5, 687.5], [479.5, 674.5]]"
834;0.11212015152;0;1;"[]";"[[728.5, 693.5]]"
