frameno;frametime;recpoint;cir_pos;color
4558;0.0128221511841;"[50, 169, 800, 409]";"[(564, 353)]";"[0]"
4559;0.0166091918945;"[50, 168, 800, 408]";"[(371, 320), (566, 348)]";"[0, 0]"
4560;0.0234320163727;"[50, 168, 800, 408]";"[(377, 320), (572, 347)]";"[0, 0]"
4561;0.0186398029327;"[49, 167, 799, 407]";"[(577, 345)]";"[0]"
4562;0.0192029476166;"[48, 166, 798, 406]";"[(383, 319)]";"[0]"
4563;0.0217008590698;"[46, 165, 796, 405]";"[(578, 343), (383, 317)]";"[0, 0]"
4564;0.0223531723022;"[45, 164, 795, 404]";"[(577, 342), (380, 316)]";"[0, 0]"
4565;0.0212059020996;"[43, 163, 793, 403]";"[(379, 313)]";"[0]"
4566;0.0226237773895;"[43, 162, 793, 402]";"[(570, 337), (376, 310)]";"[0, 0]"
4567;0.021281003952;"[44, 160, 794, 400]";"[(564, 334), (369, 307)]";"[0, 0]"
4568;0.0196340084076;"[46, 157, 796, 397]";"[(361, 303), (557, 331)]";"[0, 0]"
4569;0.0242578983307;"[46, 157, 796, 397]";"[(551, 325), (353, 298)]";"[0, 0]"
4570;0.0144829750061;"[45, 157, 795, 397]";"[(551, 323), (353, 294)]";"[0, 0]"
4571;0.0127670764923;"[44, 157, 794, 397]";"[(556, 318), (360, 288)]";"[0, 0]"
4572;0.0115110874176;"[43, 157, 793, 397]";"[(563, 312), (364, 283)]";"[0, 0]"
4573;0.0110340118408;"[42, 158, 792, 398]";"[(564, 313), (366, 285)]";"[0, 0]"
4574;0.0173060894012;"[40, 159, 790, 399]";"[(558, 314), (361, 287)]";"[0, 0]"
4575;0.0222730636597;"[40, 158, 790, 398]";"[(552, 314), (355, 287)]";"[0, 0]"
4576;0.0138549804688;"[42, 158, 792, 398]";"[(350, 288), (549, 315)]";"[0, 0]"
4577;0.0115668773651;"[43, 158, 793, 398]";"[(546, 317), (347, 289)]";"[0, 0]"
4578;0.0171530246735;"[44, 157, 794, 397]";"[(540, 317), (340, 288)]";"[0, 0]"
4579;0.0206940174103;"[45, 157, 795, 397]";"[(536, 313), (338, 283)]";"[0, 0]"
4580;0.0185060501099;"[45, 157, 795, 397]";"[(341, 284), (540, 314)]";"[0, 0]"
4581;0.0211908817291;"[45, 155, 795, 395]";"[(349, 285), (548, 313)]";"[0, 0]"
4582;0.0163538455963;"[45, 153, 795, 393]";"[(553, 312), (354, 284)]";"[0, 0]"
4583;0.0218410491943;"[46, 152, 796, 392]";"[(555, 311), (357, 282)]";"[0, 0]"
4584;0.0226540565491;"[46, 152, 796, 392]";"[(556, 312), (359, 284)]";"[0, 0]"
4585;0.0224628448486;"[46, 152, 796, 392]";"[(361, 282), (559, 310)]";"[0, 0]"
4586;0.0221409797668;"[45, 153, 795, 393]";"[(559, 306), (359, 277)]";"[0, 0]"
4587;0.0187649726868;"[45, 153, 795, 393]";"[(558, 299)]";"[0]"
4588;0.0225210189819;"[46, 153, 796, 393]";"[(364, 273), (562, 302)]";"[0, 0]"
4589;0.0211989879608;"[47, 154, 797, 394]";"[(565, 303), (366, 275)]";"[0, 0]"
4590;0.021094083786;"[47, 153, 797, 393]";"[(361, 274), (558, 302)]";"[0, 0]"
4591;0.0133540630341;"[46, 152, 796, 392]";"[(551, 301), (353, 272)]";"[0, 0]"
4592;0.0204789638519;"[45, 152, 795, 392]";"[(355, 273), (552, 301)]";"[0, 0]"
4593;0.0149838924408;"[44, 151, 794, 391]";"[(562, 303), (364, 273)]";"[0, 0]"
4594;0.0173318386078;"[44, 151, 794, 391]";"[(569, 301), (374, 272)]";"[0, 0]"
4595;0.0183181762695;"[44, 150, 794, 390]";"[(371, 268), (568, 297)]";"[0, 0]"
4596;0.0197200775146;"[45, 150, 795, 390]";"[(561, 295), (363, 265)]";"[0, 0]"
4597;0.0182712078094;"[45, 150, 795, 390]";"[(553, 296)]";"[0]"
4598;0.0159249305725;"[44, 149, 794, 389]";"[(353, 267)]";"[0]"
4599;0.0181381702423;"[42, 149, 792, 389]";"[(553, 295), (355, 266)]";"[0, 0]"
4600;0.0217759609222;"[40, 150, 790, 390]";"[(362, 264), (559, 293)]";"[0, 0]"
4601;0.0174429416656;"[39, 149, 789, 389]";"[(562, 292)]";"[0]"
4602;0.0138981342316;"[40, 149, 790, 389]";"[(359, 261), (558, 290)]";"[0, 0]"
4603;0.0136439800262;"[41, 148, 791, 388]";"[(346, 261)]";"[0]"
4604;0.0170600414276;"[42, 148, 792, 388]";"[(337, 259), (536, 290)]";"[0, 0]"
4605;0.0129370689392;"[44, 147, 794, 387]";"[(535, 289), (335, 259)]";"[0, 0]"
4606;0.0113990306854;"[46, 146, 796, 386]";"[(337, 258), (537, 288)]";"[0, 0]"
4607;0.0175380706787;"[48, 145, 798, 385]";"[(538, 288), (338, 259)]";"[0, 0]"
4608;0.0205709934235;"[45, 145, 795, 385]";"[(341, 256), (540, 286)]";"[0, 0]"
4609;0.013787984848;"[41, 144, 791, 384]";"[(349, 256), (548, 287)]";"[0, 0]"
4610;0.0200200080872;"[39, 144, 789, 384]";"[(559, 284), (361, 255)]";"[0, 0]"
4611;0.0191929340363;"[38, 144, 788, 384]";"[(371, 252), (569, 280)]";"[0, 0]"
4612;0.0229749679565;"[37, 143, 787, 383]";"[(569, 278), (372, 248)]";"[0, 0]"
4613;0.0163731575012;"[37, 143, 787, 383]";"[(360, 245), (558, 275)]";"[0, 0]"
4614;0.0158538818359;"[39, 142, 789, 382]";"[(341, 243), (541, 275)]";"[0, 0]"
4615;0.0215470790863;"[40, 142, 790, 382]";"[(529, 275), (326, 243)]";"[0, 0]"
4616;0.0128440856934;"[42, 141, 792, 381]";"[(522, 274)]";"[0]"
4617;0.0198850631714;"[41, 141, 791, 381]";"[(321, 242), (523, 273)]";"[0, 0]"
4618;0.0274250507355;"[41, 141, 791, 381]";"[(528, 273), (327, 242)]";"[0, 0]"
4619;0.0173580646515;"[40, 142, 790, 382]";"[(535, 273), (334, 242)]";"[0, 0]"
4620;0.0111479759216;"[38, 143, 788, 383]";"[(543, 270), (342, 239)]";"[0, 0]"
4621;0.061261177063;"[36, 144, 786, 384]";"[(543, 270), (342, 239)]";"[0, 0]"
4622;0.0117230415344;"[35, 145, 785, 385]";"[(350, 233), (549, 266)]";"[0, 0]"
4623;0.0604519844055;"[35, 145, 785, 385]";"[(350, 233), (549, 266)]";"[0, 0]"
4624;0.0113470554352;"[36, 145, 786, 385]";"[(333, 237), (536, 269)]";"[0, 0]"
4625;0.0180299282074;"[36, 145, 786, 385]";"[(525, 271), (322, 239)]";"[0, 0]"
4626;0.0218148231506;"[35, 145, 785, 385]";"[(317, 240), (519, 273)]";"[0, 0]"
4627;0.0205979347229;"[35, 145, 785, 385]";"[(521, 275), (318, 243)]";"[0, 0]"
4628;0.018846988678;"[35, 146, 785, 386]";"[(321, 242), (522, 275)]";"[0, 0]"
4629;0.0169680118561;"[34, 146, 784, 386]";"[(323, 241), (524, 274)]";"[0, 0]"
4630;0.0191798210144;"[34, 146, 784, 386]";"[(523, 273)]";"[0]"
4631;0.0203850269318;"[34, 147, 784, 387]";"[(518, 271), (317, 238)]";"[0, 0]"
4632;0.0212149620056;"[34, 148, 784, 388]";"[(317, 242), (518, 275)]";"[0, 0]"
4633;0.0204520225525;"[34, 149, 784, 389]";"[(518, 276), (318, 243)]";"[0, 0]"
4634;0.0227239131927;"[34, 149, 784, 389]";"[(315, 244), (517, 276)]";"[0, 0]"
4635;0.0213859081268;"[35, 149, 785, 389]";"[(516, 279), (314, 246)]";"[0, 0]"
4636;0.0151948928833;"[36, 149, 786, 389]";"[(315, 247), (518, 280)]";"[0, 0]"
4637;0.0174670219421;"[37, 148, 787, 388]";"[(313, 250), (517, 281)]";"[0, 0]"
4638;0.0236241817474;"[37, 148, 787, 388]";"[(311, 252), (514, 283)]";"[0, 0]"
4639;0.0161709785461;"[38, 148, 788, 388]";"[(516, 283)]";"[0]"
4640;0.0156350135803;"[38, 147, 788, 387]";"[(319, 252), (521, 285)]";"[0, 0]"
4641;0.0193340778351;"[39, 147, 789, 387]";"[(325, 251), (526, 284)]";"[0, 0]"
4642;0.011570930481;"[40, 148, 790, 388]";"[(529, 281)]";"[0]"
4643;0.0160980224609;"[40, 147, 790, 387]";"[(530, 281), (330, 249)]";"[0, 0]"
4644;0.0173380374908;"[41, 147, 791, 387]";"[(532, 279)]";"[0]"
4645;0.0223071575165;"[42, 147, 792, 387]";"[(533, 276), (331, 244)]";"[0, 0]"
4646;0.0146129131317;"[43, 147, 793, 387]";"[(535, 277), (333, 246)]";"[0, 0]"
4647;0.0201640129089;"[43, 147, 793, 387]";"[(540, 279), (339, 248)]";"[0, 0]"
4648;0.0184550285339;"[44, 147, 794, 387]";"[(342, 246), (542, 279)]";"[0, 0]"
